benchmark,taxonomy,rho,raw_p,bonferroni_6_adj_p,bonferroni_10_adj_p,std_pure,std_h3_1,convergence_ratio,significant
LAMBADA,retrieval,-1.0,0.0167,0.100,0.167,0.02405,0.00494,4.87,no
HellaSwag,reasoning,0.3,0.6833,1.0,1.0,0.01168,0.01183,0.99,no
ARC-Challenge,reasoning,0.6,0.35,1.0,1.0,0.00958,0.01324,0.72,no
WinoGrande,reasoning,0.1,0.95,1.0,1.0,0.00671,0.00784,0.86,no
ARC-Easy,mixed,-0.7,0.2333,1.0,1.0,0.01001,0.00130,7.70,no
MMLU,mixed,-0.7,0.2333,1.0,1.0,0.00920,0.00405,2.27,no
BoolQ,retrieval,0.2,0.7833,,1.0,0.01632,0.02357,0.69,no
PIQA,reasoning,-0.5,0.45,,1.0,0.00540,0.00339,1.59,no
SciQ,mixed,0.1,0.95,,1.0,0.00873,0.00736,1.19,no
xstorycloze_en,retrieval,-0.6,0.35,,1.0,0.00816,0.00548,1.49,no
COPA (supplementary),reasoning,-0.67,0.2667,,,0.02625,0.00471,5.57,supplementary
